step,distance,enhanced_speed,cadence,grade,max_heart_rate_perct,power
324,3.03142,31.7232,82,0,0.6922,1.9054
325,3.04031,31.8276,82,0,0.6922,2.2297
326,3.04932,31.8312,83,0,0.6922,2.3784
327,3.05817,31.9608,82,0,0.687,2.6216
328,3.06697,32.2956,83,0,0.687,2.7703
329,3.07591,32.2596,83,0,0.687,2.5541
330,3.08502,32.256,84,0,0.687,2.2838
331,3.0938,31.896,83,-0.25,0.6817,1.9054
332,3.10269,31.8996,83,-0.59,0.6817,1.8784
333,3.11159,31.896,83,-0.61,0.6764,2.1486
334,3.12003,31.8024,82,-0.63,0.6764,1.8784
335,3.12912,31.914,83,-0.64,0.6764,1.9324
336,3.13824,31.8168,82,-0.65,0.6711,2.0946
337,3.14701,31.7916,82,-0.64,0.6711,2.0405
338,3.15576,31.7808,82,-0.63,0.6711,2.027
339,3.16441,31.7952,82,-0.61,0.6658,2.4054
340,3.17336,31.8024,83,-0.58,0.6658,2.5405
341,3.18238,31.788,82,-0.33,0.6658,2.2162
342,3.19115,31.7556,82,0,0.6605,2.1081
343,3.19991,31.788,82,0,0.6553,2.1892
344,3.20886,31.4748,83,0,0.6553,2.4595
345,3.21775,31.9896,82,0,0.6553,2.7568
346,3.22662,32.0148,83,0,0.6553,2.8108
347,3.23538,32.0148,82,0,0.6553,2.3919
348,3.24406,31.9428,83,0,0.6553,2.1622
349,3.25301,31.8672,82,0,0.6605,2.1486
350,3.26186,31.4028,82,0,0.6605,1.4865
351,3.27011,30.9456,74,0,0.6553,0.9865
352,3.27918,30.9348,80,0,0.6553,1.1622
353,3.2876,30.5136,79,0,0.6553,1.473
354,3.29599,30.4308,79,0,0.6605,1.5135
355,3.30443,30.132,78,0,0.6922,1.3649
356,3.3126,29.7792,77,0,0.6975,1.2027
357,3.32082,29.376,77,0,0.6922,1.1081
358,3.32881,28.5372,73,0,0.6922,1.0541
359,3.33672,27.486,73,0,0.6922,0.6351
360,3.34428,26.6796,69,0,0.6922,0.5
361,3.3514,26.0028,0,0,0.687,0
362,3.35848,24.9948,0,0,0.687,0
363,3.36535,22.356,0,0,0.687,0
364,3.37058,17.0964,0,0,0.6817,0
365,3.37462,11.7468,0,0,0.6817,0
366,3.37722,7.0164,0,0,0.6817,0
367,3.3788,4.698,0,0,0.6764,0
368,3.37992,3.7656,0,0,0.6764,0
369,3.38078,2.286,0,0.29,0.6711,0
370,3.38137,2.3544,0,0.86,0.6764,0
371,3.38241,3.9096,0,1.28,0.6817,0
372,3.38389,6.7392,0,1.82,0.6817,0
373,3.38601,9.3348,0,2.33,0.6817,0
374,3.38859,10.8468,8,2.48,0.6817,0.0946
375,3.39191,13.5684,33,2.06,0.6817,0.3784
376,3.39636,15.8148,33,1.35,0.6764,1.8919
377,3.40109,17.3736,39,0.55,0.6764,2.7432
378,3.40572,17.7552,44,0,0.6764,2.527
379,3.41092,18.7452,47,0,0.6764,2.5135
380,3.41613,19.2528,48,0,0.6764,2.1622
381,3.42159,19.6956,50,0,0.6817,1.9324
382,3.42695,19.71,51,0,0.6764,1.6486
383,3.43226,20.1096,51,0,0.6764,1.1486
384,3.43822,20.4516,52,0,0.6922,1.2838
385,3.44405,21.1176,54,0,0.7081,1.4324
386,3.44983,21.7332,54,0,0.7398,2
387,3.45595,22.338,56,0,0.7451,2.2703
388,3.46246,23.2308,57,0,0.7451,2.5405
389,3.46915,23.958,61,0,0.7398,2.8649
390,3.47588,24.8148,63,0,0.7345,3.027
391,3.4829,25.5492,66,0,0.7398,3.1486
392,3.48999,26.2944,67,0,0.7398,3.1622
393,3.49753,26.8884,69,0,0.7345,3.027
394,3.50516,27.486,70,0,0.7345,3.0946
395,3.51287,27.432,71,0,0.7345,2.6351
396,3.52061,27.4536,71,0,0.7345,2.1622
397,3.5281,27.1872,72,0,0.7292,2.1892
398,3.53458,28.0836,73,0,0.7292,2.2297
399,3.54413,28.3716,74,0,0.7239,2.2838
400,3.55172,28.7316,74,0,0.7239,2.0946
401,3.55992,28.6812,74,0,0.7239,1.9865
402,3.56786,28.7352,75,0,0.7239,1.9595
403,3.57591,28.7424,74,0,0.7187,1.7973
404,3.584,28.7856,75,0,0.7187,1.8649
405,3.59211,28.9188,75,0,0.7187,1.8514
406,3.60022,28.9404,75,0,0.7187,1.8108
407,3.60829,29.2428,76,0,0.7187,2.0676
408,3.61644,29.232,76,0,0.7239,2.0405
409,3.62464,29.322,76,0,0.7239,2.0541
410,3.63276,29.3868,77,0,0.7187,2.4865
411,3.64102,29.466,76,0,0.7187,2.1351
412,3.64914,29.7792,76,0,0.7187,1.973
413,3.65731,29.7792,77,0,0.7134,2.0946
414,3.66519,29.6604,77,0,0.7134,2.1081
415,3.67385,30.0816,78,0,0.7081,2.0135
416,3.68205,30.6216,78,0,0.7081,2.4189
417,3.69058,30.546,79,0,0.7028,2.2973
418,3.69918,30.5676,79,0,0.7028,2.2297
419,3.70767,30.5352,79,0,0.7028,1.9595
420,3.71643,30.456,79,0,0.7028,1.8243
421,3.72474,30.0924,79,0,0.7081,2.0405
422,3.73316,30.1824,79,0,0.7081,1.9865
423,3.74172,30.1932,79,0,0.7081,1.8243
424,3.74983,30.222,78,0,0.7028,1.7568
425,3.75836,30.2832,79,0,0.7028,1.8108
426,3.76658,30.2616,78,0,0.7028,1.7703
427,3.77485,29.862,78,0,0.6975,1.5811
428,3.78193,29.8728,78,0,0.6975,1.7568
429,3.79161,29.9592,79,0,0.6975,2.0676
430,3.79992,30.0636,80,0,0.6975,2
431,3.80822,31.9392,80,0,0.6975,1.8514
432,3.81673,31.8996,84,0,0.6975,3.4459
433,3.82571,32.7852,84,0,0.6975,4.8784
434,3.83444,30.9168,81,0,0.6975,2.8649
435,3.84282,30.2364,80,0,0.6922,1.0811
436,3.85127,30.69,80,0,0.6922,1.4189
437,3.86001,30.6864,79,0,0.687,1.8919
438,3.86847,30.6576,80,0,0.687,2.2703
439,3.87713,30.564,79,0,0.687,2.473
440,3.88572,30.6468,79,0,0.687,2.3378
441,3.89421,30.672,79,0,0.687,2.3919
442,3.9027,30.672,79,0,0.687,2.3378
443,3.91158,30.7224,80,0,0.6817,2.4189
444,3.92023,30.8016,80,0,0.6817,2.527
445,3.92885,30.8592,80,0,0.6817,2.5541
446,3.93747,30.8628,80,0,0.6764,2.4189
447,3.94604,30.5676,79,0,0.6764,2.1216
448,3.95456,30.5316,79,0,0.6764,2.3108
449,3.96304,30.6288,79,0,0.6764,2.5
450,3.97167,30.7008,79,0,0.6711,2.8108
451,3.9801,30.5856,79,0,0.6711,2.9324
452,3.9887,30.6612,79,0,0.6711,2.6486
453,3.99704,30.6828,79,0,0.6764,2.3919
454,4.00582,30.6612,79,0,0.6764,2.2838
455,4.01455,30.996,79,0,0.6711,2.5
456,4.02307,30.8988,80,0,0.6711,2.3784
457,4.03151,30.8412,80,0,0.6711,1.8514
458,4.03909,30.7872,79,0,0.6711,1.9595
459,4.04883,30.7512,79,0,0.6711,2.3514
460,4.0574,30.8772,80,0,0.6711,2.5405
461,4.06597,30.8808,80,0,0.6658,2.527
462,4.07455,30.9384,80,0,0.6658,2.2568
463,4.08331,31.0104,80,0,0.6605,2.3378
464,4.09176,31.0392,80,0,0.6605,2.4054
465,4.10052,30.9816,80,0,0.6605,2.3649
466,4.10904,30.9492,80,0,0.6605,2.2568
467,4.11762,30.9384,80,0,0.6658,2.4324
468,4.1262,30.9168,80,0,0.6658,2.6081
469,4.13469,30.9024,80,0,0.6658,2.4324
470,4.14346,30.8988,80,0,0.6711,2.3514
471,4.15199,30.87,80,0,0.6711,2.3784
472,4.1605,30.8808,80,0,0.6711,2.3514
473,4.16914,30.8592,80,0,0.6658,2.4054
474,4.1778,30.8736,80,0,0.6658,2.2297
475,4.18644,30.924,80,0,0.6605,2.3243
476,4.19517,30.96,80,0,0.6605,2.3514
477,4.20363,30.9672,80,0,0.6553,2.3108
478,4.21197,30.9708,80,0,0.6553,2.0541
479,4.2209,31.3848,81,0,0.6553,2.2162
480,4.22957,31.284,81,0,0.6553,2.5676
481,4.23826,31.1652,81,0,0.65,2.2568
482,4.24696,31.23,80,0,0.65,1.9324
483,4.25573,31.1688,81,0,0.6553,2
484,4.26434,31.1796,81,0,0.6553,2.3514
485,4.27301,31.1616,80,0,0.6553,2.2568
486,4.28158,31.1472,80,0,0.6553,2.0541
487,4.29013,31.1184,80,0,0.65,2.1216
488,4.2975,31.1328,81,0,0.65,2.3514
489,4.3076,31.1796,80,0,0.65,2.7297
490,4.31617,31.194,81,0,0.65,2.473
491,4.32492,31.2156,81,0,0.65,2.4054
492,4.33369,31.248,81,0,0.65,2.5405
493,4.34248,31.212,81,0,0.6447,2.527
494,4.35109,31.1652,80,0,0.6394,2.3378
495,4.35965,31.1148,80,0,0.6341,2.1892
496,4.3684,31.0536,80,0,0.6341,2.3378
